Agent,Depth,Layout,Ghosts,Score,Result,Execution Time
AlphaBetaAgent,1,smallClassic,1,-274.0,win,31.11961793899536
AlphaBetaAgent,1,smallClassic,1,-988.0,win,45.33489274978638
AlphaBetaAgent,1,smallClassic,1,-1026.0,win,46.425457239151
AlphaBetaAgent,1,smallClassic,1,625.0,win,12.951646089553833
AlphaBetaAgent,1,smallClassic,1,-205.0,lose,4.253621578216553
AlphaBetaAgent,1,smallClassic,2,-279.0,lose,10.252636909484863
AlphaBetaAgent,1,smallClassic,2,-215.0,lose,7.065794229507446
AlphaBetaAgent,1,smallClassic,2,-202.0,lose,7.021663665771484
AlphaBetaAgent,1,smallClassic,2,-166.0,lose,5.0671398639678955
AlphaBetaAgent,1,smallClassic,2,-36.0,lose,8.139106035232544
AlphaBetaAgent,2,smallClassic,1,-338.0,lose,7.227829694747925
AlphaBetaAgent,2,smallClassic,1,420.0,win,16.78297996520996
AlphaBetaAgent,2,smallClassic,1,774.0,win,13.61783766746521
AlphaBetaAgent,2,smallClassic,1,-458.0,lose,11.374328136444092
AlphaBetaAgent,2,smallClassic,1,586.0,win,17.270876169204712
AlphaBetaAgent,2,smallClassic,2,-62.0,lose,22.669552326202393
AlphaBetaAgent,2,smallClassic,2,-51.0,lose,6.43233585357666
AlphaBetaAgent,2,smallClassic,2,-398.0,lose,2.1573922634124756
AlphaBetaAgent,2,smallClassic,2,-164.0,lose,6.3365397453308105
AlphaBetaAgent,2,smallClassic,2,-226.0,lose,8.72318983078003
AlphaBetaAgent,3,smallClassic,1,840.0,win,22.396204471588135
AlphaBetaAgent,3,smallClassic,1,-915.0,win,61.050111293792725
AlphaBetaAgent,3,smallClassic,1,-35.0,win,39.81086540222168
AlphaBetaAgent,3,smallClassic,1,29.0,win,40.38425397872925
AlphaBetaAgent,3,smallClassic,1,800.0,win,18.408930778503418
AlphaBetaAgent,3,smallClassic,2,0.0,lose,34.29704833030701
AlphaBetaAgent,3,smallClassic,2,-34.0,lose,14.6670982837677
AlphaBetaAgent,3,smallClassic,2,176.0,lose,20.397382020950317
AlphaBetaAgent,3,smallClassic,2,965.0,win,23.163804531097412
AlphaBetaAgent,3,smallClassic,2,1080.0,win,15.005059242248535
AlphaBetaAgent,3,mediumClassic,2,1575.0,win,38.680431842803955
AlphaBetaAgent,3,mediumClassic,2,989.0,win,85.8063280582428
AlphaBetaAgent,3,mediumClassic,2,-3436.0,lose,381.25225019454956
AlphaBetaAgent,3,mediumClassic,2,1037.0,win,78.08228206634521
AlphaBetaAgent,3,mediumClassic,2,205.0,lose,9.429250478744507
MinimaxAgent,1,smallClassic,1,-857.0,win,42.638861417770386
MinimaxAgent,1,smallClassic,1,-421.0,lose,4.178511142730713
MinimaxAgent,1,smallClassic,1,-335.0,lose,7.263437271118164
MinimaxAgent,1,smallClassic,1,-289.0,lose,6.394400358200073
MinimaxAgent,1,smallClassic,1,-693.0,win,38.58868479728699
MinimaxAgent,1,smallClassic,2,-203.0,lose,6.564372539520264
MinimaxAgent,1,smallClassic,2,-424.0,lose,7.5686469078063965
MinimaxAgent,1,smallClassic,2,-161.0,lose,4.484036207199097
MinimaxAgent,1,smallClassic,2,-314.0,lose,13.756967306137085
MinimaxAgent,1,smallClassic,2,-159.0,lose,4.82839560508728
MinimaxAgent,2,smallClassic,1,-59.0,win,28.75447702407837
MinimaxAgent,2,smallClassic,1,587.0,win,13.497908592224121
MinimaxAgent,2,smallClassic,1,-541.0,win,45.41987204551697
MinimaxAgent,2,smallClassic,1,-402.0,lose,4.458588361740112
MinimaxAgent,2,smallClassic,1,-370.0,lose,9.014031648635864
MinimaxAgent,2,smallClassic,2,-256.0,lose,6.5776166915893555
MinimaxAgent,2,smallClassic,2,-238.0,lose,10.244018077850342
MinimaxAgent,2,smallClassic,2,-346.0,lose,2.714431047439575
MinimaxAgent,2,smallClassic,2,-510.0,lose,30.047852516174316
MinimaxAgent,2,smallClassic,2,-562.0,lose,36.142343521118164
MinimaxAgent,3,smallClassic,1,891.0,win,13.018925666809082
MinimaxAgent,3,smallClassic,1,765.0,win,16.843148469924927
MinimaxAgent,3,smallClassic,1,998.0,win,16.33821392059326
MinimaxAgent,3,smallClassic,1,783.0,win,17.77048087120056
MinimaxAgent,3,smallClassic,1,-1187.0,win,76.33963394165039
MinimaxAgent,3,smallClassic,2,-396.0,lose,3.6574134826660156
MinimaxAgent,3,smallClassic,2,51.0,lose,18.93441367149353
MinimaxAgent,3,smallClassic,2,-85.0,lose,8.935081243515015
MinimaxAgent,3,smallClassic,2,1090.0,win,15.201096296310425
MinimaxAgent,3,smallClassic,2,-99.0,lose,16.406102895736694
MinimaxAgent,3,mediumClassic,2,1511.0,win,46.164182901382446
MinimaxAgent,3,mediumClassic,2,443.0,lose,13.251369714736938
MinimaxAgent,3,mediumClassic,2,504.0,lose,40.508299589157104
MinimaxAgent,3,mediumClassic,2,-2875.0,lose,338.36934757232666
MinimaxAgent,3,mediumClassic,2,227.0,lose,71.80477046966553
